video,moisture,spring,displacement,motor,U,L_1,L_2,L_3,L_4,C_1,C_2,C_3,C_4,O,X
*GH012974,7,2000,0.22,30,0,0,0,0,1,0,1,0,0,1,0
*GH012975,7,2000,0.22,30,0,0,0,0,1,0,0,0,1,1,0
*GH012976,7,2000,0.22,30,0,0,0,0,1,0,0,1,0,1,0
*GH012977,7,2000,0.22,30,0,0,0,0,1,0,0,1,0,1,0
*GH012978,7,2000,0.22,30,0,0,0,0,1,0,0,0,1,1,0
*GH013154,9,2000,0.22,45,0,0,0,0,1,0,0,0,1,1,0
*GH013155,9,2000,0.22,45,0,0,0,0,1,0,0,1,0,1,0
*GH013186,9,2000,0.29,60,0,0,0,0,1,0,0,0,1,1,0
*GH013187,9,2000,0.29,60,0,0,0,0,1,0,1,0,0,1,0
*GH013188,9,2000,0.29,60,0,0,0,0,1,1,0,0,0,1,0
*GH013189,9,2000,0.29,60,0,0,0,1,0,0,1,0,0,1,0
*GH013190,9,2000,0.29,60,0,0,0,0,1,1,0,0,0,0,0
*GH013191,9,2000,0.36,30,0,0,0,1,0,1,0,0,0,0,0
*GH013192,9,2000,0.36,30,0,0,0,0,1,0,0,1,0,1,0
*GH013193,9,2000,0.36,30,1,0,0,0,0,0,0,0,0,0,0
*GH013194,9,2000,0.36,30,0,0,0,1,0,1,0,0,0,0,0
*GH013195,9,2000,0.36,30,0,0,0,0,1,0,0,0,0,0,0
*GH013196,9,2000,0.36,30,1,0,0,0,0,0,0,0,0,0,0
*GH013197,9,2000,0.36,60,0,0,0,0,1,0,0,0,1,0,1
*GH013198,9,2000,0.36,60,1,0,0,0,0,0,0,0,0,0,0
*GH013199,9,2000,0.36,60,0,0,0,1,0,0,0,0,1,1,0
*GH013200,9,2000,0.36,60,0,0,0,0,1,0,1,0,0,1,0
*GH013202,9,2000,0.36,60,0,0,0,0,1,0,1,0,0,1,0
*GH013203,9,2000,0.29,45,0,0,0,0,1,0,0,1,0,1,0
*GH013204,9,2000,0.29,45,0,0,0,0,1,0,1,0,0,1,0
*GH013205,9,2000,0.29,45,0,0,0,0,1,0,1,0,0,1,0
*GH013206,9,2000,0.29,45,0,0,0,1,0,1,0,0,0,1,0
*GH013207,9,2000,0.29,45,0,0,0,0,1,0,1,0,0,1,0
*GH013208,9,2000,0.29,45,0,0,0,0,1,0,0,0,1,1,0
*GH013209,9,2000,0.29,30,0,0,0,0,1,0,0,1,0,1,0
*GH013210,9,2000,0.29,30,0,0,0,0,1,1,0,0,0,0,0
*GH013211,9,2000,0.29,30,0,0,0,0,1,0,0,1,0,1,0
*GH013212,9,2000,0.29,30,0,0,0,0,1,0,0,1,0,1,0
*GH013213,9,2000,0.29,30,0,0,0,0,1,0,0,1,0,1,0
*GH013214,9,2000,0.29,30,0,0,0,0,1,0,1,0,0,0,0
*GH013215,9,2000,0.36,45,0,0,0,0,1,0,0,0,1,1,0
*GH013216,9,2000,0.36,45,0,0,0,0,1,0,1,0,0,0,0
*GH013217,9,2000,0.36,45,1,0,0,0,0,0,0,0,0,0,0
*GH013218,9,2000,0.36,45,0,0,0,1,0,1,0,0,0,0,0
*GH013219,9,2000,0.36,45,0,0,0,0,1,1,0,0,0,0,0
*GH013220,9,2000,0.36,45,1,0,0,0,0,0,0,0,0,0,0
*GH013221,9,2000,0.29,60,0,0,0,0,1,0,0,1,0,1,0
*GH013222,9,2000,0.29,60,0,0,0,0,1,0,0,1,0,1,0
*GH013223,9,2000,0.29,60,0,0,0,0,1,0,0,1,0,1,0
*GH013224,9,2000,0.29,60,0,0,0,0,1,0,0,1,0,1,0
*GH013225,9,2000,0.29,60,0,0,0,0,1,0,0,1,0,1,0
*GH013226,9,2000,0.29,60,0,0,0,0,1,0,0,1,0,1,0
*GH013580,7,1800,0.36,45,0,0,0,0,1,0,1,0,0,1,0
*GH013581,7,1800,0.36,45,0,0,0,0,1,1,0,0,0,0,0
*GH013582,7,1800,0.36,45,0,0,0,0,1,0,1,0,0,0,0
*GH013583,7,1800,0.36,45,0,0,0,0,1,0,0,1,0,1,0
*GH013584,7,1800,0.36,45,0,0,0,0,1,0,0,0,1,1,0
*GH013585,7,1800,0.36,45,1,0,0,0,0,0,0,0,0,0,0
*GH013586,7,1800,0.22,45,0,0,0,0,1,0,0,0,1,1,0
*GH013587,7,1800,0.22,45,0,0,0,0,1,0,0,0,1,1,0
*GH013588,7,1800,0.22,45,0,0,0,0,1,0,0,0,1,1,0
*GH013589,7,1800,0.22,45,0,0,0,0,1,0,0,0,1,1,0
*GH013590,7,1800,0.29,30,0,0,0,0,1,0,0,1,0,1,0
*GH013591,7,1800,0.29,30,0,0,0,0,1,0,1,0,0,1,0
*GH013592,7,1800,0.29,30,0,0,0,0,1,0,1,0,0,1,0
*GH013593,7,1800,0.29,30,0,0,0,0,1,0,1,0,0,1,0
*GH013594,7,1800,0.29,30,0,0,0,0,1,0,0,0,1,1,0
*GH013595,7,1800,0.29,30,0,0,0,0,1,1,0,0,0,0,0
*GH013596,7,1800,0.22,30,0,0,0,0,1,0,0,0,1,1,0
*GH013597,7,1800,0.22,30,0,0,0,0,1,0,0,1,0,1,0
