moisture,spring_stiffness,displacement_screw_setting,motor_speed,video_id,crack_type
5,1800,0.29,60,*GH013810,longitudinal_more_than_75%
5,1800,0.29,60,*GH013811,longitudinal_more_than_75%
5,1800,0.29,60,*GH013812,longitudinal_more_than_75%
5,1800,0.29,60,*GH013813,longitudinal_more_than_75%
5,1800,0.29,60,*GH013814,longitudinal_more_than_75%
5,1800,0.29,60,*GH013815,longitudinal_more_than_75%
5,1800,0.29,60,*GH013812,circumferential_between_25_50%
5,1800,0.29,60,*GH013813,circumferential_between_25_50%
5,1800,0.29,60,*GH013814,circumferential_between_25_50%
5,1800,0.29,60,*GH013810,circumferential_more_than_75%
5,1800,0.29,60,*GH013811,circumferential_more_than_75%
5,1800,0.29,60,*GH013815,circumferential_more_than_75%
5,1800,0.29,60,*GH013810,open_crack
5,1800,0.29,60,*GH013811,open_crack
5,1800,0.29,60,*GH013812,open_crack
5,1800,0.29,60,*GH013813,open_crack
5,1800,0.29,60,*GH013814,open_crack
5,1800,0.29,60,*GH013815,open_crack
5,1800,0.22,45,*GH013816,longitudinal_more_than_75%
5,1800,0.22,45,*GH013817,longitudinal_more_than_75%
5,1800,0.22,45,*GH013818,longitudinal_more_than_75%
5,1800,0.22,45,*GH013819,longitudinal_more_than_75%
5,1800,0.22,45,*GH013820,longitudinal_more_than_75%
5,1800,0.22,45,*GH013821,longitudinal_more_than_75%
5,1800,0.22,45,*GH013818,circumferential_between_25_50%
5,1800,0.22,45,*GH013821,circumferential_between_50_75%
5,1800,0.22,45,*GH013816,circumferential_more_than_75%
5,1800,0.22,45,*GH013817,circumferential_more_than_75%
5,1800,0.22,45,*GH013819,circumferential_more_than_75%
5,1800,0.22,45,*GH013820,circumferential_more_than_75%
5,1800,0.22,45,*GH013816,open_crack
5,1800,0.22,45,*GH013817,open_crack
5,1800,0.22,45,*GH013818,open_crack
5,1800,0.22,45,*GH013819,open_crack
5,1800,0.22,45,*GH013820,open_crack
5,1800,0.22,45,*GH013821,open_crack
5,1800,0.36,30,*GH013822,untouched
5,1800,0.36,30,*GH013823,longitudinal_between_50_75%
5,1800,0.36,30,*GH013824,longitudinal_more_than_75%
5,1800,0.36,30,*GH013825,longitudinal_more_than_75%
5,1800,0.36,30,*GH013826,longitudinal_more_than_75%
